01111,10011111,10.0.159.2,n159,3952.0,2706.0,
01101,00000111,10.0.55.2,n7,4024.0,4012.0,centroid
00000,00011101,10.0.39.1,n29,4047.0,418.0,centroid
01101,10011011,10.0.179.1,n155,4086.6666666666665,3557.3333333333335,
00000,00010100,10.0.38.1,n20,4110.0,642.0,
00001,00101000,10.0.40.1,n40,4126.0,902.0,
01111,10011110,10.0.158.2,n158,4148.0,3152.0,
01110,10011001,10.0.181.1,n153,4202.666666666666,4360.666666666667,
00010,00110011,10.0.41.1,n51,4211.0,1286.0,
01110,00001001,10.0.56.1,n9,4221.0,3941.0,
00001,00010010,10.0.42.1,n18,4411.0,1768.0,centroid
01111,00111001,10.0.46.1,n57,4440.0,2467.0,centroid
